Date,Variable,Asia,East Europe,West Europe,Russia,North America
1985,nuclear_electricity,209.96,94.18,597.29,99.32,464.41
1986,nuclear_electricity,226.17,89.95,644.88,105.22,507.1
1987,nuclear_electricity,266.68,105.25,659.2,124.7,556.49
1988,nuclear_electricity,250.92,137.58,704.52,134.81,637.58
1989,nuclear_electricity,265.6,136.21,745.94,136.34,636.91
1990,nuclear_electricity,287.15,146.23,748.28,118.33,682.62
1991,nuclear_electricity,306.12,142.86,774.89,119.98,733.39
1992,nuclear_electricity,314.37,137.2,787.16,119.63,735.28
1993,nuclear_electricity,348.43,139.39,821.24,119.19,740.62
1994,nuclear_electricity,372.07,131.53,820.25,97.82,785.47
1995,nuclear_electricity,410.21,137.3,838.77,99.53,814.44
1996,nuclear_electricity,431.28,151.27,879.23,109.03,810.24
1997,nuclear_electricity,459.46,152.13,890.15,108.5,754.15
1998,nuclear_electricity,478.39,149.52,884.21,103.72,789.42
1999,nuclear_electricity,486.07,143.52,896.69,121.87,849.56
2000,nuclear_electricity,495.87,153.66,895.14,122.46,830.86
2001,nuclear_electricity,502.89,158.51,923.46,125.36,849.98
2002,nuclear_electricity,515.33,168.5,926.91,134.14,861.07
2003,nuclear_electricity,457.27,173.82,930.95,141.17,844.86
2004,nuclear_electricity,525.4,179.76,942.68,137.47,883.13
2005,nuclear_electricity,546.33,179.59,930.21,137.64,879.14
2006,nuclear_electricity,562.78,181.51,926.42,144.65,890.06
2007,nuclear_electricity,540.77,180.9,874.83,147.99,904.56
2008,nuclear_electricity,524.46,184.8,869.96,152.06,903.87
2009,nuclear_electricity,549.14,177.5,827.13,152.78,894.09
2010,nuclear_electricity,578.54,174.35,857.75,159.41,898.16
2011,nuclear_electricity,478.54,177.69,846.02,162.02,888.15
2012,nuclear_electricity,342.26,178.99,818.95,166.29,867.23
2013,nuclear_electricity,344.34,170.84,815.2,161.38,897.98
2014,nuclear_electricity,370.39,177.42,814.85,169.07,907.68
2015,nuclear_electricity,418.24,172.47,795.28,182.81,904.41
2016,nuclear_electricity,468.72,162.94,778.84,184.05,911.65
2017,nuclear_electricity,495.79,172.16,763.54,190.12,911.09
2018,nuclear_electricity,556,172.4,764.51,181.76,915.43
2019,nuclear_electricity,648.01,172.66,758.28,195.54,915.76
2020,nuclear_electricity,657.98,166.18,668.17,215.74,893.4
2021,nuclear_electricity,722.63,182.29,706.75,222.44,878.44
2022,nuclear_electricity,759.4036314,158.28,594.27,223.41,864.18
2023,nuclear_electricity,787.92048,171.9025656,561.6212379,226.3437382,857.6068141
2024,nuclear_electricity,855.4937261,183.2427908,589.332841,242.7754516,921.985821
2025,nuclear_electricity,925.3442913,194.6397788,616.0344058,259.207165,986.3648278
2026,nuclear_electricity,1008.960665,206.0743422,645.5046403,275.6388784,1050.743835
2027,nuclear_electricity,1092.229179,217.5324027,673.7169492,292.0705918,1115.122842
2028,nuclear_electricity,1173.341056,229.0049999,702.2747447,308.5023052,1179.501849
2029,nuclear_electricity,1253.743006,240.4865718,730.095307,324.9340186,1243.880855
2030,nuclear_electricity,1335.351192,251.9736822,758.5824063,341.365732,1308.259862
2031,nuclear_electricity,1417.994214,263.4642101,786.7933174,357.7974454,1372.638869
2032,nuclear_electricity,1500.402678,274.9568469,815.2211271,374.2291588,1437.017876
2033,nuclear_electricity,1586.579291,286.4507849,843.4006229,390.6608722,1501.396883
2034,nuclear_electricity,1672.63232,299.8778789,871.7392626,407.0925856,1565.77589
2035,nuclear_electricity,1759.267596,313.3054683,902.04027,423.524299,1630.154897
2036,nuclear_electricity,1846.2479,326.7333635,940.844252,439.9560124,1694.533903
2037,nuclear_electricity,1932.970471,340.1614473,979.648234,456.3877258,1758.912911
2038,nuclear_electricity,2019.335605,353.5896476,1018.452216,472.8194392,1823.291918
2039,nuclear_electricity,2105.724157,367.0179196,1057.256198,489.2511526,1887.670924
2040,nuclear_electricity,2192.375113,380.446236,1096.06018,505.682866,1952.049931
2041,nuclear_electricity,2279.125779,393.8745798,1134.864162,522.1145794,2016.428938
2042,nuclear_electricity,2365.735585,407.3029404,1173.668144,538.5462928,2080.807944
2043,nuclear_electricity,2452.212694,420.7313114,1212.472126,554.9780062,2145.186952
2044,nuclear_electricity,2538.730353,434.1596889,1251.276108,571.4097196,2209.565959
2045,nuclear_electricity,2625.359537,447.5880703,1290.08009,587.841433,2273.944965
2046,nuclear_electricity,2712.009527,461.0164542,1328.884072,604.2731464,2338.323972
2047,nuclear_electricity,2798.590092,474.4448396,1367.688054,620.7048598,2402.702979
2048,nuclear_electricity,2885.125239,487.8732259,1406.492036,637.1365732,2467.081987
2049,nuclear_electricity,2971.689221,501.3016128,1445.296018,653.5682866,2531.460993
2050,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2051,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2052,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2053,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2054,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2055,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2056,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2057,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2058,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2059,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2060,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2061,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2062,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2063,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2064,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2065,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2066,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2067,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2068,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2069,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2070,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2071,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2072,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2073,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2074,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2075,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2076,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2077,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2078,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2079,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2080,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2081,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2082,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2083,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2084,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2085,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2086,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2087,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2088,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2089,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2090,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2091,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2092,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2093,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2094,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2095,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2096,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2097,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2098,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2099,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
2100,nuclear_electricity,3058.298,514.73,1484.1,670,2595.84
