Date,Variable,Russia,Anicca
1985,nuclear_electricity,99.32,11.33013917
1986,nuclear_electricity,105.22,12.00319416
1987,nuclear_electricity,124.7,14.22541638
1988,nuclear_electricity,134.81,15.37873603
1989,nuclear_electricity,136.34,15.55327401
1990,nuclear_electricity,118.33,13.49874515
1991,nuclear_electricity,119.98,13.68697239
1992,nuclear_electricity,119.63,13.6470454
1993,nuclear_electricity,119.19,13.59685147
1994,nuclear_electricity,97.82,11.1590235
1995,nuclear_electricity,99.53,11.35409537
1996,nuclear_electricity,109.03,12.43782797
1997,nuclear_electricity,108.5,12.3773671
1998,nuclear_electricity,103.72,11.83207849
1999,nuclear_electricity,121.87,13.90257814
2000,nuclear_electricity,122.46,13.96988364
2001,nuclear_electricity,125.36,14.30070728
2002,nuclear_electricity,134.14,15.30230436
2003,nuclear_electricity,141.17,16.10426648
2004,nuclear_electricity,137.47,15.68218115
2005,nuclear_electricity,137.64,15.70157426
2006,nuclear_electricity,144.65,16.50125485
2007,nuclear_electricity,147.99,16.88227242
2008,nuclear_electricity,152.06,17.34656628
2009,nuclear_electricity,152.78,17.4287018
2010,nuclear_electricity,159.41,18.18503308
2011,nuclear_electricity,162.02,18.48277436
2012,nuclear_electricity,166.29,18.96988364
2013,nuclear_electricity,161.38,18.409765
2014,nuclear_electricity,169.07,19.28701802
2015,nuclear_electricity,182.81,20.8544376
2016,nuclear_electricity,184.05,20.99589322
2017,nuclear_electricity,190.12,21.68834132
2018,nuclear_electricity,181.76,20.73465663
2019,nuclear_electricity,195.54,22.30663929
2020,nuclear_electricity,215.74,24.61099703
2021,nuclear_electricity,222.44,25.37531371
2022,nuclear_electricity,223.41,25.48596851
2023,nuclear_electricity,226.3437382,25.82064091
2024,nuclear_electricity,242.7754516,27.69512339
2025,nuclear_electricity,259.207165,29.56960587
2026,nuclear_electricity,275.6388784,31.44408834
2027,nuclear_electricity,292.0705918,33.31857082
2028,nuclear_electricity,308.5023052,35.1930533
2029,nuclear_electricity,324.9340186,37.06753578
2030,nuclear_electricity,341.365732,38.94201825
2031,nuclear_electricity,357.7974454,40.81650073
2032,nuclear_electricity,374.2291588,42.69098321
2033,nuclear_electricity,390.6608722,44.56546569
2034,nuclear_electricity,407.0925856,46.43994817
2035,nuclear_electricity,423.524299,48.31443064
2036,nuclear_electricity,439.9560124,50.18891312
2037,nuclear_electricity,456.3877258,52.0633956
2038,nuclear_electricity,472.8194392,53.93787808
2039,nuclear_electricity,489.2511526,55.81236055
2040,nuclear_electricity,505.682866,57.68684303
2041,nuclear_electricity,522.1145794,59.56132551
2042,nuclear_electricity,538.5462928,61.43580799
2043,nuclear_electricity,554.9780062,63.31029046
2044,nuclear_electricity,571.4097196,65.18477294
2045,nuclear_electricity,587.841433,67.05925542
2046,nuclear_electricity,604.2731464,68.9337379
2047,nuclear_electricity,620.7048598,70.80822037
2048,nuclear_electricity,637.1365732,72.68270285
2049,nuclear_electricity,653.5682866,74.55718533
2050,nuclear_electricity,670,76.43166781
2051,nuclear_electricity,670,76.43166781
2052,nuclear_electricity,670,76.43166781
2053,nuclear_electricity,670,76.43166781
2054,nuclear_electricity,670,76.43166781
2055,nuclear_electricity,670,76.43166781
2056,nuclear_electricity,670,76.43166781
2057,nuclear_electricity,670,76.43166781
2058,nuclear_electricity,670,76.43166781
2059,nuclear_electricity,670,76.43166781
2060,nuclear_electricity,670,76.43166781
2061,nuclear_electricity,670,76.43166781
2062,nuclear_electricity,670,76.43166781
2063,nuclear_electricity,670,76.43166781
2064,nuclear_electricity,670,76.43166781
2065,nuclear_electricity,670,76.43166781
2066,nuclear_electricity,670,76.43166781
2067,nuclear_electricity,670,76.43166781
2068,nuclear_electricity,670,76.43166781
2069,nuclear_electricity,670,76.43166781
2070,nuclear_electricity,670,76.43166781
2071,nuclear_electricity,670,76.43166781
2072,nuclear_electricity,670,76.43166781
2073,nuclear_electricity,670,76.43166781
2074,nuclear_electricity,670,76.43166781
2075,nuclear_electricity,670,76.43166781
2076,nuclear_electricity,670,76.43166781
2077,nuclear_electricity,670,76.43166781
2078,nuclear_electricity,670,76.43166781
2079,nuclear_electricity,670,76.43166781
2080,nuclear_electricity,670,76.43166781
2081,nuclear_electricity,670,76.43166781
2082,nuclear_electricity,670,76.43166781
2083,nuclear_electricity,670,76.43166781
2084,nuclear_electricity,670,76.43166781
2085,nuclear_electricity,670,76.43166781
2086,nuclear_electricity,670,76.43166781
2087,nuclear_electricity,670,76.43166781
2088,nuclear_electricity,670,76.43166781
2089,nuclear_electricity,670,76.43166781
2090,nuclear_electricity,670,76.43166781
2091,nuclear_electricity,670,76.43166781
2092,nuclear_electricity,670,76.43166781
2093,nuclear_electricity,670,76.43166781
2094,nuclear_electricity,670,76.43166781
2095,nuclear_electricity,670,76.43166781
2096,nuclear_electricity,670,76.43166781
2097,nuclear_electricity,670,76.43166781
2098,nuclear_electricity,670,76.43166781
2099,nuclear_electricity,670,76.43166781
2100,nuclear_electricity,670,76.43166781
