Date,Variable,Finland,France,Netherlands,Slovenia,Sweden,United Kingdom,West Europe Cop,Anicca
1985,nuclear_electricity,18.93,224.1,3.9,0,58.56,61.1,366.59,41.81953
1986,nuclear_electricity,18.95,254.16,4.22,0,69.95,59.08,406.36,46.35637691
1987,nuclear_electricity,19.51,265.52,3.56,0,67.39,55.24,411.22,46.9107917
1988,nuclear_electricity,19.42,275.52,3.68,0,69.42,63.46,431.5,49.22427561
1989,nuclear_electricity,18.96,303.93,4.02,0,65.6,71.73,464.24,52.95916039
1990,nuclear_electricity,19.22,314.08,3.5,4.62,68.18,65.75,475.35,54.22655715
1991,nuclear_electricity,19.51,331.34,3.33,4.95,76.76,70.54,506.43,57.77207392
1992,nuclear_electricity,19.26,338.45,3.8,3.97,63.54,76.81,505.83,57.70362765
1993,nuclear_electricity,19.93,368.19,3.95,3.96,61.4,89.35,546.78,62.37508556
1994,nuclear_electricity,19.43,359.98,3.97,4.61,73.16,88.28,549.43,62.67738992
1995,nuclear_electricity,19.22,377.23,4.02,4.78,69.93,88.96,564.14,64.35546429
1996,nuclear_electricity,19.48,397.34,4.16,4.65,74.27,94.67,594.57,67.82683094
1997,nuclear_electricity,20.89,395.48,2.41,5.02,69.93,98.15,591.88,67.5199635
1998,nuclear_electricity,21.85,387.99,3.81,5.04,73.58,99.49,591.76,67.50627424
1999,nuclear_electricity,22.97,394.24,3.83,4.7,73.19,95.13,594.06,67.76865161
2000,nuclear_electricity,22.48,415.16,3.93,4.76,57.32,85.06,588.71,67.15833904
2001,nuclear_electricity,22.77,421.08,3.98,5.26,72.11,90.09,615.29,70.19050878
2002,nuclear_electricity,22.3,436.76,3.91,5.53,68.11,87.85,624.46,71.23659594
2003,nuclear_electricity,22.73,441.07,4.02,5.21,67.42,88.69,629.14,71.77047684
2004,nuclear_electricity,22.72,448.24,3.82,5.46,77.49,80,637.73,72.75039927
2005,nuclear_electricity,23.27,451.53,4,5.88,72.38,81.62,638.68,72.85877253
2006,nuclear_electricity,22.91,450.19,3.47,5.55,66.98,75.45,624.55,71.24686288
2007,nuclear_electricity,23.42,439.73,4.2,5.7,66.97,63.03,603.05,68.79420488
2008,nuclear_electricity,22.96,439.45,4.17,6.27,63.89,52.49,589.23,67.21765914
2009,nuclear_electricity,23.53,409.74,4.25,5.74,52.17,69.1,564.53,64.39995437
2010,nuclear_electricity,22.8,428.52,3.97,5.66,57.83,62.14,580.92,66.2696783
2011,nuclear_electricity,23.19,442.39,4.14,6.22,60.47,68.98,605.39,69.06114533
2012,nuclear_electricity,22.99,425.41,3.91,5.53,64.04,70.41,592.29,67.56673511
2013,nuclear_electricity,23.61,423.68,2.89,5.3,66.46,70.61,592.55,67.59639516
2014,nuclear_electricity,23.58,436.48,4.09,6.37,64.88,63.75,599.15,68.34930413
2015,nuclear_electricity,23.25,437.43,4.08,5.65,56.35,70.34,597.1,68.11544604
2016,nuclear_electricity,23.2,403.2,3.96,5.72,63.1,71.73,570.91,65.12776637
2017,nuclear_electricity,22.48,398.36,3.4,6.29,65.7,70.34,566.57,64.63267169
2018,nuclear_electricity,22.79,412.94,3.51,5.78,68.55,65.06,578.63,66.00844171
2019,nuclear_electricity,23.87,399.01,3.91,5.82,66.13,56.18,554.92,63.30367328
2020,nuclear_electricity,23.29,353.83,4.09,6.35,49.2,50.28,487.04,55.56011864
2021,nuclear_electricity,23.6,379.36,3.83,5.71,52.97,45.9,511.37,58.33561488
2022,nuclear_electricity,25.09,297.88,4.14,5.59,51.4,47.72,431.82,49.26078029
2023,nuclear_electricity,25.11893278,301.9969451,3.837626703,6.26366401,53.49873045,45.67658701,436.3924861,49.78239632
2024,nuclear_electricity,26.99971305,330.8118731,4.162159047,6.653898676,57.28396266,49.28486157,475.1964681,54.20904268
2025,nuclear_electricity,28.88049332,359.626801,4.486691392,7.044133342,61.06919486,52.89313612,514.00045,58.63568903
2026,nuclear_electricity,30.76127358,388.441729,4.811223736,7.434368008,64.85442707,56.50141068,552.8044321,63.0623354
2027,nuclear_electricity,32.64205385,417.2566569,5.13575608,7.824602675,68.63965927,60.10968523,591.608414,67.48898175
2028,nuclear_electricity,34.52283412,446.0715849,5.460288425,8.214837341,72.42489148,63.71795979,630.4123961,71.91562812
2029,nuclear_electricity,36.40361439,474.8865129,5.784820769,8.605072007,76.21012369,67.32623434,669.2163781,76.34227448
2030,nuclear_electricity,38.28439465,503.7014408,6.109353113,8.995306674,79.99535589,70.9345089,708.02036,80.76892083
2031,nuclear_electricity,40.16517492,532.5163688,6.433885458,9.38554134,83.7805881,74.54278345,746.8243421,85.1955672
2032,nuclear_electricity,42.04595519,561.3312967,6.758417802,9.775776006,87.5658203,78.15105801,785.628324,89.62221355
2033,nuclear_electricity,43.92673545,590.1462247,7.082950146,10.16601067,91.35105251,81.75933256,824.432306,94.04885991
2034,nuclear_electricity,45.80751572,618.9611527,7.407482491,10.55624534,95.13628471,85.36760712,863.2362881,98.47550629
2035,nuclear_electricity,47.68829599,647.7760806,7.732014835,10.94648001,98.92151692,88.97588167,902.04027,102.9021526
2036,nuclear_electricity,49.56907626,676.5910086,8.056547179,11.33671467,102.7067491,92.58415623,940.844252,107.328799
2037,nuclear_electricity,51.44985652,705.4059365,8.381079524,11.72694934,106.4919813,96.19243078,979.648234,111.7554454
2038,nuclear_electricity,53.33063679,734.2208645,8.705611868,12.117184,110.2772135,99.80070534,1018.452216,116.1820917
2039,nuclear_electricity,55.21141706,763.0357925,9.030144212,12.50741867,114.0624457,103.4089799,1057.256198,120.6087381
2040,nuclear_electricity,57.09219733,791.8507204,9.354676557,12.89765334,117.8476779,107.0172544,1096.06018,125.0353844
2041,nuclear_electricity,58.97297759,820.6656484,9.679208901,13.287888,121.6329102,110.625529,1134.864162,129.4620308
2042,nuclear_electricity,60.85375786,849.4805763,10.00374125,13.67812267,125.4181424,114.2338036,1173.668144,133.8886772
2043,nuclear_electricity,62.73453813,878.2955043,10.32827359,14.06835734,129.2033746,117.8420781,1212.472126,138.3153235
2044,nuclear_electricity,64.6153184,907.1104322,10.65280593,14.458592,132.9886068,121.4503527,1251.276108,142.7419699
2045,nuclear_electricity,66.49609866,935.9253602,10.97733828,14.84882667,136.773839,125.0586272,1290.08009,147.1686162
2046,nuclear_electricity,68.37687893,964.7402882,11.30187062,15.23906133,140.5590712,128.6669018,1328.884072,151.5952626
2047,nuclear_electricity,70.2576592,993.5552161,11.62640297,15.629296,144.3443034,132.2751763,1367.688054,156.021909
2048,nuclear_electricity,72.13843947,1022.370144,11.95093531,16.01953067,148.1295356,135.8834509,1406.492036,160.4485553
2049,nuclear_electricity,74.01921973,1051.185072,12.27546766,16.40976533,151.9147678,139.4917254,1445.296018,164.8752017
2050,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2051,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2052,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2053,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2054,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2055,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2056,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2057,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2058,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2059,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2060,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2061,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2062,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2063,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2064,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2065,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2066,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2067,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2068,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2069,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2070,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2071,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2072,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2073,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2074,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2075,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2076,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2077,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2078,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2079,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2080,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2081,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2082,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2083,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2084,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2085,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2086,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2087,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2088,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2089,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2090,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2091,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2092,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2093,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2094,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2095,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2096,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2097,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2098,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2099,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
2100,nuclear_electricity,75.9,1080,12.6,16.8,155.7,143.1,1484.1,169.301848
