Country,Date,electricity_generation
World,1900,
World,1901,
World,1902,
World,1903,
World,1904,
World,1905,
World,1906,
World,1907,
World,1908,
World,1909,
World,1910,
World,1911,
World,1912,
World,1913,
World,1914,
World,1915,
World,1916,
World,1917,
World,1918,
World,1919,
World,1920,
World,1921,
World,1922,
World,1923,
World,1924,
World,1925,
World,1926,
World,1927,
World,1928,
World,1929,
World,1930,
World,1931,
World,1932,
World,1933,
World,1934,
World,1935,
World,1936,
World,1937,
World,1938,
World,1939,
World,1940,
World,1941,
World,1942,
World,1943,
World,1944,
World,1945,
World,1946,
World,1947,
World,1948,
World,1949,
World,1950,
World,1951,
World,1952,
World,1953,
World,1954,
World,1955,
World,1956,
World,1957,
World,1958,
World,1959,
World,1960,
World,1961,
World,1962,
World,1963,
World,1964,
World,1965,
World,1966,
World,1967,
World,1968,
World,1969,
World,1970,
World,1971,
World,1972,
World,1973,
World,1974,
World,1975,
World,1976,
World,1977,
World,1978,
World,1979,
World,1980,
World,1981,
World,1982,
World,1983,
World,1984,
World,1985,9886.06
World,1986,10180.79
World,1987,10670.62
World,1988,11140.63
World,1989,11657.95
World,1990,11960.96
World,1991,12222.06
World,1992,12335.95
World,1993,12599.48
World,1994,12923.58
World,1995,13381.88
World,1996,13797.19
World,1997,14128.65
World,1998,14511.02
World,1999,14925.88
World,2000,15107.77
World,2001,15328.1
World,2002,15870.67
World,2003,16430.25
World,2004,17225.04
World,2005,17925.88
World,2006,18627.83
World,2007,19489.04
World,2008,19863.99
World,2009,19722.55
World,2010,21069.53
World,2011,21768.75
World,2012,22289.38
World,2013,22931.45
World,2014,23519.28
World,2015,23762.83
World,2016,24412.38
World,2017,25169.85
World,2018,26174.37
World,2019,26515.59
World,2020,26446.62
World,2021,28002.92
World,2022,28660.98
World,2023,29294.352244597136
World,2024,29927.92382649784
World,2025,30561.495408398547
World,2026,31195.066990299252
World,2027,31828.638572199958
World,2028,32462.210154100663
World,2029,33095.781736001365
World,2030,33729.35331790207
World,2031,34362.92489980277
World,2032,34996.49648170347
World,2033,35630.06806360417
World,2034,36263.639645504874
World,2035,36897.211227405576
World,2036,37530.78280930628
World,2037,38164.35439120698
World,2038,38797.92597310768
World,2039,39431.497555008384
World,2040,40065.069136909086
World,2041,40698.64071880979
World,2042,41332.21230071049
World,2043,41965.78388261119
World,2044,42599.35546451189
World,2045,43232.927046412595
World,2046,43866.4986283133
World,2047,44500.070210214
World,2048,45133.6417921147
World,2049,45767.2133740154
World,2050,46400.784955916104
World,2051,47034.356537816806
World,2052,47667.92811971751
World,2053,48301.49970161821
World,2054,48935.07128351891
World,2055,49568.64286541961
World,2056,50202.214447320315
World,2057,50835.78602922102
World,2058,51469.35761112172
World,2059,52102.92919302242
World,2060,52736.50077492312
World,2061,53370.072356823825
World,2062,54003.64393872453
World,2063,54637.21552062523
World,2064,55270.78710252593
World,2065,55904.35868442663
World,2066,56537.930266327334
World,2067,57171.501848228036
World,2068,57805.07343012874
World,2069,58438.64501202944
World,2070,59072.21659393014
World,2071,59705.78817583084
World,2072,60339.359757731545
World,2073,60972.93133963225
World,2074,61606.50292153295
World,2075,62240.07450343365
World,2076,62873.64608533435
World,2077,63507.217667235054
World,2078,64140.789249135756
World,2079,64774.36083103646
World,2080,65407.93241293716
World,2081,66041.50399483787
World,2082,66675.07557673857
World,2083,67308.64715863927
World,2084,67942.21874053997
World,2085,68575.79032244068
World,2086,69209.36190434138
World,2087,69842.93348624208
World,2088,70476.50506814278
World,2089,71110.07665004348
World,2090,71743.64823194419
World,2091,72377.21981384489
World,2092,73010.79139574559
World,2093,73644.36297764629
World,2094,74277.934559547
World,2095,74911.5061414477
World,2096,75545.0777233484
World,2097,76178.6493052491
World,2098,76812.2208871498
World,2099,77445.7924690505
World,2100,78079.3640509512
